Column;Section;QuestionText
Respondent;Basic Info;Randomized respondent ID number (not in order of survey response time)
MainBranch;Basic Info;Which of the following options best describes you today? Here, by 'developer' we mean 'someone who writes code.'
Hobbyist;Basic Info;Do you code as a hobby?
OpenSourcer;Basic Info;How often do you contribute to open source?
OpenSource;Basic Info;How do you feel about the quality of open source software (OSS)?
Employment;Basic Info;Which of the following best describes your current employment status?
Country;Basic Info;In which country do you currently reside?
Student;Education, Work, Career;Are you currently enrolled in a formal, degree-granting college or university program?
EdLevel;Education, Work, Career;Which of the following best describes the highest level of formal education that youâ€™ve completed?
UndergradMajor;Education, Work, Career;What was your main or most important field of study?
EduOther;Education, Work, Career;Which of the following types of non-degree education have you used or participated in? Please select all that apply.
OrgSize;Education, Work, Career;Approximately how many people are employed by the company or organization you work for?
DevType;Education, Work, Career;Which of the following describe you? Please select all that apply.
YearsCode;Education, Work, Career;Including any education, how many years have you been coding?
Age1stCode;Education, Work, Career;At what age did you write your first line of code or program? (E.g., webpage, Hello World, Scratch project)
YearsCodePro;Education, Work, Career;How many years have you coded professionally (as a part of your work)?
CareerSat;Education, Work, Career;Overall, how satisfied are you with your career thus far?
JobSat;Education, Work, Career;How satisfied are you with your current job? (If you work multiple jobs, answer for the one you spend the most hours on.)
MgrIdiot;Education, Work, Career;How confident are you that your manager knows what theyâ€™re doing?
MgrMoney;Education, Work, Career;Do you believe that you need to be a manager to make more money?
MgrWant;Education, Work, Career;Do you want to become a manager yourself in the future?
JobSeek;Education, Work, Career;Which of the following best describes your current job-seeking status?
LastHireDate;Education, Work, Career;When was the last time that you took a job with a new employer?
LastInt;Education, Work, Career;In your most recent successful job interview (resulting in a job offer), you were asked to... (check all that apply)
FizzBuzz;Education, Work, Career;Have you ever been asked to solve FizzBuzz in an interview?
JobFactors;Education, Work, Career;Imagine that you are deciding between two job offers with the same compensation, benefits, and location. Of the following factors, which 3 are MOST important to you?
ResumeUpdate;Education, Work, Career;Think back to the last time you updated your resumĂ©, CV, or an online profile on a job site. What is the PRIMARY reason that you did so?
CurrencySymbol;Education, Work, Career;Which currency do you use day-to-day? If your answer is complicated, please pick the one you're most comfortable estimating in.
CurrencyDesc;Education, Work, Career;Which currency do you use day-to-day? If your answer is complicated, please pick the one you're most comfortable estimating in.
CompTotal;Education, Work, Career;What is your current total compensation (salary, bonuses, and perks, before taxes and deductions), in `CurrencySymbol`? Please enter a whole number in the box below, without any punctuation. If you are paid hourly, please estimate an equivalent weekly, monthly, or yearly salary. If you prefer not to answer, please leave the box empty.
CompFreq;Education, Work, Career;Is that compensation weekly, monthly, or yearly?
ConvertedComp;Education, Work, Career;Salary converted to annual USD salaries using the exchange rate on 2019-02-01, assuming 12 working months and 50 working weeks.
WorkWeekHrs;Education, Work, Career;On average, how many hours per week do you work?
WorkPlan;Education, Work, Career;How structured or planned is your work?
WorkChallenge;Education, Work, Career;Of these options, what are your greatest challenges to productivity as a developer? Select up to 3:
WorkRemote;Education, Work, Career;How often do you work remotely?
WorkLoc;Education, Work, Career;Where would you prefer to work?
ImpSyn;Education, Work, Career;For the specific work you do, and the years of experience you have, how do you rate your own level of competence?
CodeRev;Education, Work, Career;Do you review code as part of your work?
CodeRevHrs;Education, Work, Career;On average, how many hours per week do you spend on code review?
UnitTests;Education, Work, Career;Does your company regularly employ unit tests in the development of their products?
PurchaseHow;Education, Work, Career;How does your company make decisions about purchasing new technology (cloud, AI, IoT, databases)?
PurchaseWhat;Education, Work, Career;What level of influence do you, personally, have over new technology purchases at your organization?
LanguageWorkedWith;Tect and tech Culture;Which of the following programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year?  (If you both worked with the language and want to continue to do so, please check both boxes in that row.)
LanguageDesireNextYear;Tect and tech Culture;Which of the following programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year?  (If you both worked with the language and want to continue to do so, please check both boxes in that row.)
DatabaseWorkedWith;Tect and tech Culture;Which of the following database environments have you done extensive development work in over the past year, and which do you want to work in over the next year?   (If you both worked with the database and want to continue to do so, please check both boxes in that row.)
DatabaseDesireNextYear;Tect and tech Culture;Which of the following database environments have you done extensive development work in over the past year, and which do you want to work in over the next year?   (If you both worked with the database and want to continue to do so, please check both boxes in that row.)
PlatformWorkedWith;Tect and tech Culture;Which of the following platforms have you done extensive development work for over the past year?   (If you both developed for the platform and want to continue to do so, please check both boxes in that row.)
PlatformDesireNextYear;Tect and tech Culture;Which of the following platforms have you done extensive development work for over the past year?   (If you both developed for the platform and want to continue to do so, please check both boxes in that row.)
WebFrameWorkedWith;Tect and tech Culture;Which of the following web frameworks have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)
WebFrameDesireNextYear;Tect and tech Culture;Which of the following web frameworks have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)
MiscTechWorkedWith;Tect and tech Culture;Which of the following other frameworks, libraries, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.)
MiscTechDesireNextYear;Tect and tech Culture;Which of the following other frameworks, libraries, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.)
DevEnviron;Tect and tech Culture;Which development environment(s) do you use regularly?  Please check all that apply.
OpSys;Tect and tech Culture;What is the primary operating system in which you work?
Containers;Tect and tech Culture;How do you use containers (Docker, Open Container Initiative (OCI), etc.)?
BlockchainOrg;Tect and tech Culture;How is your organization thinking about or implementing blockchain technology?
BlockchainIs;Tect and tech Culture;Blockchain / cryptocurrency technology is primarily:
BetterLife;Tect and tech Culture;Do you think people born today will have a better life than their parents?
ITperson;Tect and tech Culture;"Are you the ""IT support person"" for your family?"
OffOn;Tect and tech Culture;Have you tried turning it off and on again?
SocialMedia;Tect and tech Culture;What social media site do you use the most?
Extraversion;Tect and tech Culture;Do you prefer online chat or IRL conversations?
ScreenName;Tect and tech Culture;What do you call it?
SOVisit1st;Stack Overflow;To the best of your memory, when did you first visit Stack Overflow?
SOVisitFreq;Stack Overflow;How frequently would you say you visit Stack Overflow?
SOVisitTo;Stack Overflow;I visit Stack Overflow to... (check all that apply)
SOFindAnswer;Stack Overflow;On average, how many times a week do you find (and use) an answer on Stack Overflow?
SOTimeSaved;Stack Overflow;Think back to the last time you solved a coding problem using Stack Overflow, as well as the last time you solved a problem using a different resource. Which was faster?
